"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jul 15 01:17:55 BDT 2024","Mon Jul 15 01:18:15 BDT 2024","20487","Default Suite","web-automation-POM","testcases.test_LoginPage","testcases.test_LoginPage","test_login_with_valid_credentials","test_login_with_valid_credentials",""
"passed","Mon Jul 15 01:17:14 BDT 2024","Mon Jul 15 01:17:15 BDT 2024","370","Default Suite","web-automation-POM","testcases.test_LoginPage","testcases.test_LoginPage","testWithInvalidCredentials","testWithInvalidCredentials",""
"passed","Mon Jul 15 01:17:44 BDT 2024","Mon Jul 15 01:17:44 BDT 2024","355","Default Suite","web-automation-POM","testcases.test_LoginPage","testcases.test_LoginPage","test_login_with_invalidEmail","test_login_with_invalidEmail",""
"passed","Mon Jul 15 01:16:33 BDT 2024","Mon Jul 15 01:16:34 BDT 2024","1020","Default Suite","web-automation-POM","testcases.test_LoginPage","testcases.test_LoginPage","testWithInvalidCredentials","testWithInvalidCredentials",""
"passed","Mon Jul 15 01:16:46 BDT 2024","Mon Jul 15 01:16:46 BDT 2024","340","Default Suite","web-automation-POM","testcases.test_LoginPage","testcases.test_LoginPage","testWithInvalidCredentials","testWithInvalidCredentials",""
"passed","Mon Jul 15 01:16:55 BDT 2024","Mon Jul 15 01:16:55 BDT 2024","423","Default Suite","web-automation-POM","testcases.test_LoginPage","testcases.test_LoginPage","testWithInvalidCredentials","testWithInvalidCredentials",""
"passed","Mon Jul 15 01:11:19 BDT 2024","Mon Jul 15 01:11:28 BDT 2024","8866","All Test Suite","E:/SQAcourse/Projects/Web Automation Project/web-automation-POM/src/test/java/testcases","testcases.test_HomePage","testcases.test_HomePage","testHomePageTitle","testHomePageTitle",""
"passed","Mon Jul 15 01:16:07 BDT 2024","Mon Jul 15 01:16:08 BDT 2024","1279","Default Suite","web-automation-POM","testcases.test_LoginPage","testcases.test_LoginPage","testWithInvalidCredentials","testWithInvalidCredentials",""
"passed","Mon Jul 15 01:16:21 BDT 2024","Mon Jul 15 01:16:22 BDT 2024","967","Default Suite","web-automation-POM","testcases.test_LoginPage","testcases.test_LoginPage","testWithInvalidCredentials","testWithInvalidCredentials",""
"passed","Mon Jul 15 01:17:23 BDT 2024","Mon Jul 15 01:17:24 BDT 2024","404","Default Suite","web-automation-POM","testcases.test_LoginPage","testcases.test_LoginPage","testWithInvalidCredentials","testWithInvalidCredentials",""
"passed","Mon Jul 15 01:17:32 BDT 2024","Mon Jul 15 01:17:33 BDT 2024","347","Default Suite","web-automation-POM","testcases.test_LoginPage","testcases.test_LoginPage","testWithInvalidCredentials","testWithInvalidCredentials",""
"passed","Mon Jul 15 01:17:04 BDT 2024","Mon Jul 15 01:17:05 BDT 2024","431","Default Suite","web-automation-POM","testcases.test_LoginPage","testcases.test_LoginPage","testWithInvalidCredentials","testWithInvalidCredentials",""
